0.75;1;0.75;1;1;0.666667;0.625;0.142857;451
0.916667;0.916667;0.5;0.5;1;0.666667;0.375;0.571429;410
1;0.666667;0.5;0.625;1;0.666667;0.625;0.428571;410
0.916667;0.833333;0.625;0.5;1;0.333333;0.25;0.428571;381
0.75;0.833333;0.375;0.625;0;0.666667;0.625;0.428571;370
0.916667;0.916667;0.125;0.5;1;0.666667;0.25;0.142857;362
1;0.833333;0.125;0.5;1;0.666667;0.375;0.285714;361
0.916667;0.833333;0.125;0.75;1;0.666667;0.25;0.285714;360
0.666667;0.916667;0.25;0.625;0.5;0.666667;0.5;0.285714;350
0.75;0.833333;0.5;0.5;0;0.666667;0.5;0.142857;340
0.666667;0.916667;0.25;0.5;0.5;0.666667;0.375;0.428571;340
0.75;0.75;0.25;0.5;1;0.666667;0.625;0.142857;340
