0.5;0.583333;0.875;0.75;0.5;1;0.375;0.714286;380
0.916667;0.5;0.875;0.625;1;1;0.125;0.142857;360
0.583333;0.333333;0.875;0.5;1;1;0.5;0.571429;350
0.666667;0.583333;0.875;0.5;1;1;0.375;0.142857;350
0.583333;0.416667;0.875;0.375;1;1;0.375;0.285714;320
0.583333;0.416667;0.75;0.375;0.5;1;0.25;0.571429;311
0.5;0.416667;0.75;0.25;1;1;0.375;0.285714;309
0.583333;0.666667;0.625;0.5;1;0.333333;0;0.285714;292
0.416667;0.416667;1;0.5;1;0.666667;0.125;0.285714;292
0.583333;0.333333;0.625;0.625;1;0.666667;0.125;0.428571;291
0.416667;0.583333;0.75;0.625;1;0.666667;0.25;0;290
1;0.416667;0.5;0.375;1;0.666667;0.125;0;290
0.583333;0.5;0.375;0.5;1;1;0.125;0.428571;290
0.666667;0.416667;0.375;0.25;1;0;0.5;0.714286;290
0.75;0.166667;0.5;0.5;1;1;0;0.428571;283
0.5;0.5;0.875;0.125;0.5;1;0;0.285714;278
0.333333;0.416667;0.375;0.5;1;1;0.5;0.285714;277
0.333333;0.333333;0.625;0.625;1;1;0.125;0.428571;276
0.416667;0.333333;0.875;0.25;1;1;0.125;0.142857;273
0.666667;0.5;0.75;0;1;0.666667;0.25;0.142857;273
0.666667;0.333333;0.5;0.375;1;0.333333;0.25;0.428571;270
0.833333;0.25;0.875;0.25;1;0;0.125;0.142857;269
0.75;0.5;0.75;0.25;0.5;0;0.25;0;264
0.75;0.416667;0.625;0.125;1;1;0;0;264
