0.333333;0.916667;0.75;0.75;0.5;0.666667;0.5;0.571429;381
0.583333;0.75;0.625;0.75;0.5;0.666667;0.375;0.428571;360
0.25;0.833333;0.5;0.875;0;1;0.5;0.571429;357
0.666667;0.75;0.5;0.75;1;0.666667;0.125;0.285714;356
0.75;0.583333;0.625;0.875;0.5;0.333333;0.125;0.285714;331
0.666667;0.5;0.75;0.5;0.5;0.666667;0.25;0.571429;330
0.666667;0.666667;0;0.75;0;1;0.375;0.714286;330
0.5;0.833333;0.5;0.75;0.5;1;0.125;0.142857;321
0.416667;0.666667;0.625;0.5;0.5;0.333333;0.25;0.571429;303
0.583333;0.666667;0.375;0.5;0.5;0.666667;0.375;0.285714;300
0.416667;0.75;0.375;0.625;0.5;0.666667;0.25;0.285714;292
0.416667;0.75;0.5;0.625;0;0.666667;0.5;0;290
