0.875;0.375;0.214286;0.0714286;0.681818;0.9;0.5;0.5;633
0.875;0.8125;0.428571;0.357143;0.909091;0.9;0.666667;0.9;883
0.6875;0.25;0.285714;0.214286;0.727273;0.7;0.5;0.6;603
0.875;0.3125;0.285714;0.214286;0.727273;0.6;0;0.7;596
0.8125;0.5625;0.142857;0.357143;0.727273;0.6;0.277778;0.6;620
0.875;0.4375;0.142857;0.428571;0.818182;0.5;0.277778;0.8;655
0.625;0.625;0.214286;0.357143;0.818182;0.9;0.777778;0.4;732
0.9375;0.3125;0.142857;0;0.590909;0.9;0.444444;0.6;600
0.6875;0.4375;0.214286;0.428571;0.590909;0.9;0.277778;0.6;600
0.875;0.8125;0.428571;0.5;0.954545;0.6;0.833333;0.6;885

