0.8125;0.6875;0.428571;0.428571;0.636364;0.6;0.222222;0;610
0.5625;0.5;0.785714;0.5;0.545455;0.5;0.166667;0.2;574
0.4375;0.75;0.5;0.642857;0.5;0.5;0.611111;0.4;660
0.375;0.6875;0.5;0.714286;0.727273;0.4;0.111111;0.3;596
0.5625;0.4375;0.428571;0.642857;0.545455;0.5;0.388889;0.3;581
0.4375;0.4375;0.785714;0.357143;0.590909;0.6;0.611111;0.2;621
0.8125;0.625;0.642857;0.571429;0.772727;0.7;0.388889;0.3;741
0.8125;0.5;0.428571;0.857143;0.863636;0.8;0.5;0.4;803
0.875;0.875;0.714286;0.571429;0.727273;0.9;0.5;0.1;822
0.6875;0.75;0.571429;0.571429;0.772727;0.4;0.333333;0.1;671
