0.9375;0.3125;0.785714;0.357143;0.5;0.9;0.555556;0.8;740
0.875;0.5625;0.571429;0.214286;0.636364;0.8;0.777778;0.6;760
0.8125;0.4375;0.642857;0.285714;0.454545;1;0.833333;0.6;755
0.8125;0.4375;0.357143;0.571429;0.5;1;0.555556;0.7;713
0.875;0.5;0.785714;0.357143;0.681818;0.8;0.777778;0.7;828
0.875;0.4375;0.785714;0.428571;0.545455;1;0.777778;0.4;792
0.75;0.3125;0.785714;0.214286;0.454545;0.7;0.611111;0.7;660
0.8125;0.625;0.571429;0.5;0.636364;1;0.333333;0.8;777
0.6875;0.625;0.571429;0.285714;0.636364;1;0.555556;0.6;734
0.875;0.3125;0.714286;0.5;0.681818;0.5;0.722222;0.7;761

